Episode,Title,Interviewees
1,Introduction to the FLOSS for Science podcast,Patrick and David
2,Modeling composite materials fatigue with Python,Laurent Cormier 
3,Jabref at JabCon,Oliver Kopp and Jörg Lenhard 
4,Reproducible science with Rocker,Carl Boettinger
5,LibreOffice the Swiss Army Knife of Science,Katarina Behrens  
6,Gentoo Linux for Neurosciences,Christian Horea
7,A guide to Software Licenses in Science,Karl Fogel and James Vasile
8,Solid-Liquid Mixing Modelling,Bruno Blais
9,Gmsh for Finite Element Meshes,Christophe Geuzaine
10,CGAL : The Computational Geometry Algorithms Library,Sébastien Loriot
11,Black Box Optimization with NOMAD,Sebastien Le Digabel
12,EasyBuild : Building Software with Ease for HPC, Kenneth Hoste
