Episode,Title,Interviewee(s)
13,Vector Graphics with INKSCAPE,Martin Owens
14,GIMP Your Images for Publications,Pat David
15,Reproducible Research in Archaeology with rrtools,Ben Marwick
16,Management of High Performance Computing Infrastructures with: openhpc,Karl W. Schulz
17,HPX: A Cure for Performance Impared Parallel Applications, Adrian Serio
18,Performing Art with FLOSS,Jesse Allison
19,The Road Ahead for Scientific Linux,Glenn Cooper
20,JOOS : Peer-Reviewed Publication of Scientific Software,Arfon Smith
21,High-level Scientific Computung with GNU Octave,Juan Pablo Carbajal
22,Symbolic Calculation with Maxima,Robert Dodier
